13901	Agricultural Products	24,218
19101	Farms	1,336
74220	Veterinarians Dvm Vmd Public Health	39,954
75203	Animal Shelters	2,619
75210	Pet Services	35,535
97101	Hunting & Fishing Preserves	46
97106	Wildlife Conservation	319
149901	Mining Companies	3,761
152130	Construction Building Contractors	461,682
154235	Buildings Factory	38
175203	Flooring	42,138
203301	Preserves (Manufacturers)	801
208401	Wineries	6,946
274105	Publishers	13,788
371102	Automobile Manufacturers	358
399903	Manufacturers	71,336
401190	Train Stations	4,636
411101	Airport Transportation Service	2,852
411902	Ambulance Service	7,779
411904	Car Service	244,437
411906	Rescue Squads	590
411914	Transportation Services	92,967
412101	Taxis	22,215
413101	Bus Lines	4,737
414201	Buses Charter & Rental	3,233
421205	Delivery Service	37,913
421401	Moving Services	58,022
431101	Post Offices	31,233
448290	Ferry Terminals	840
449306	Marinas	3,359
449903	Boat Launching	2,133
451201	Airline Companies	11
458106	Airports	479
472401	Tourist Information	4,090
472402	Travel Agents	44,151
478502	Scales Public	1,432
481302	Telecommunications Services	15,928
481304	Telephone Companies	66,729
491101	Electric Companies	4,946
501209	Buses-New & Used (Wholesale)	23
501210	Recreational Vehicles Wholesale	9,655
501227	Snowmobiles Wholesale & Distributors	2,024
502332	Curtains Shower & Bath Wholesale	58,856
503999	Construction Materials NEC (Wholesale)	263,216
504403	Copiers	39,529
504498	Office Equipment (Wholesale)	42,081
504704	Medical Supplies	50,220
506304	Security Control Equipment & Systems-Wholesale	18,502
508702	Beauty Salons-Equipment & Supplies (Wholesale)	338,362
509312	Recycling Centers (Wholesale)	15,689
512203	Pharmaceutical Products Wholesale	2,358
514701	Butchering (Wholesale)	12,876
516916	Chemicals (Wholesale)	4,863
519402	Cigar Cigarette & Tobacco Dealers-Wholesale	37,457
521107	Windows	475
521135	Electric Equipment & Supplies Retail	67,546
521138	Home Centers	46,003
523107	Paint Stores	15,015
525104	Hardware Stores	28,789
526104	Garden Centers	35,376
531102	Department Stores	38,931
531104	Retail Shops	121,763
531110	Wholesale Clubs	12,339
533101	Variety Stores	38,081
541101	Food Markets	61,138
541103	Convenience Stores	34,900
541105	Grocery Stores	86,621
